year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,UGA,Uganda,UG,Eastern,UG2,Manafwa,UG2052,98044,92982,191026,17825,15474,13179,11279,7317,5720,5337,4435,3868,3369,2495,2409,1783,1195,975,875,509,18090,15691,13304,11514,7252,4551,4152,3637,3233,2843,2355,2185,1561,952,660,603,399,35915,31165,26483,22793,14569,10271,9489,8072,7101,6212,4850,4594,3344,2147,1635,1478,908
2022,UGA,Uganda,UG,Eastern,UG2,Mayuge,UG2053,324208,302678,626886,63622,52290,42972,34283,28006,22669,19453,15633,12753,9347,7696,4732,4012,2145,2123,1150,1322,64682,54660,44396,35778,23576,17270,14041,11296,9173,7577,6331,4362,3490,2058,1759,1099,1130,128304,106950,87368,70061,51582,39939,33494,26929,21926,16924,14027,9094,7502,4203,3882,2249,2452
2022,UGA,Uganda,UG,Eastern,UG2,Mbale,UG2054,341072,310321,651393,56527,48321,43488,41572,33310,25651,22068,16371,13317,10365,7943,6726,5237,3272,3004,2221,1679,56267,48403,42236,36719,30025,20006,17248,13472,11165,9130,7581,6180,4433,2552,2150,1542,1212,112794,96724,85724,78291,63335,45657,39316,29843,24482,19495,15524,12906,9670,5824,5154,3763,2891
2022,UGA,Uganda,UG,Eastern,UG2,Namayingo,UG2055,146730,141689,288419,29652,24273,18950,15171,12245,10400,9578,7256,5361,4004,3107,2285,1800,957,746,527,418,30329,25314,20285,15522,10881,8271,7533,6134,4657,3471,2961,2254,1641,924,630,444,438,59981,49587,39235,30693,23126,18671,17111,13390,10018,7475,6068,4539,3441,1881,1376,971,856
2022,UGA,Uganda,UG,Eastern,UG2,Namisindwa,UG2056,138327,133383,271710,26582,23131,18615,15088,10362,8266,7695,6184,5257,4180,3211,2949,2431,1481,1181,939,775,27368,23990,18960,15156,10120,6723,6145,5063,4475,3788,3216,2808,1965,1297,915,781,613,53950,47121,37575,30244,20482,14989,13840,11247,9732,7968,6427,5757,4396,2778,2096,1720,1388
2022,UGA,Uganda,UG,Eastern,UG2,Namutumba,UG2057,174651,167162,341813,35728,29246,23767,18270,13813,10669,9788,7723,6471,4875,4142,2843,2557,1408,1486,946,919,36246,30562,25290,20260,12166,8266,6741,5418,4958,4235,3953,2574,2356,1454,1246,715,722,71974,59808,49057,38530,25979,18935,16529,13141,11429,9110,8095,5417,4913,2862,2732,1661,1641
2022,UGA,Uganda,UG,Eastern,UG2,Ngora,UG2058,94680,87826,182506,17027,15200,12895,10769,7682,5921,5071,4182,3270,3061,2236,2014,1739,1041,1075,831,666,17189,15486,12942,11241,7043,4654,3960,3296,2688,2150,2062,1515,1230,759,675,543,393,34216,30686,25837,22010,14725,10575,9031,7478,5958,5211,4298,3529,2969,1800,1750,1374,1059
2022,UGA,Uganda,UG,Eastern,UG2,Pallisa,UG2059,193074,182207,375281,37964,31684,27204,21933,15473,11753,10258,8553,7099,5401,4434,3010,2603,1687,1647,1181,1190,38544,32264,27510,23085,14322,9308,7715,6143,5377,4463,4072,2790,2164,1440,1217,965,828,76508,63948,54714,45018,29795,21061,17973,14696,12476,9864,8506,5800,4767,3127,2864,2146,2018
2022,UGA,Uganda,UG,Eastern,UG2,Serere,UG2060,208369,197515,405884,40340,35399,28227,23489,16425,13530,11277,9179,7183,6008,4471,3543,3108,1981,1770,1356,1083,40424,36082,28980,24122,15641,11195,9064,7346,5893,4743,4176,2928,2379,1564,1277,999,702,80764,71481,57207,47611,32066,24725,20341,16525,13076,10751,8647,6471,5487,3545,3047,2355,1785
2022,UGA,Uganda,UG,Eastern,UG2,Sironko,UG2061,149979,148608,298587,25671,21497,20102,17416,11174,8957,8396,7350,6190,5501,4247,3811,3021,2029,1905,1565,1147,27017,23106,21240,18737,11661,7752,6869,5784,5433,4962,4614,4000,2711,1622,1356,1012,732,52688,44603,41342,36153,22835,16709,15265,13134,11623,10463,8861,7811,5732,3651,3261,2577,1879
2022,UGA,Uganda,UG,Eastern,UG2,Soroti,UG2062,208398,198468,406866,36813,32091,27191,25878,18891,15344,12369,9924,7256,6183,4528,3520,2818,1792,1615,1201,984,38356,32832,26901,25557,18349,12797,10546,8276,6236,5107,4267,3163,2139,1488,1116,746,592,75169,64923,54092,51435,37240,28141,22915,18200,13492,11290,8795,6683,4957,3280,2731,1947,1576
2022,UGA,Uganda,UG,Eastern,UG2,Tororo,UG2063,338248,317168,655416,60501,51854,45944,39188,27409,21180,19810,15909,13991,10676,8610,6979,5638,3588,2946,2231,1794,61897,53043,45979,39899,26560,16771,14641,12016,10986,8547,7681,6380,4671,2859,2249,1670,1319,122398,104897,91923,79087,53969,37951,34451,27925,24977,19223,16291,13359,10309,6447,5195,3901,3113
2022,UGA,Uganda,UG,Northern,UG3,Abim,UG3064,91700,86243,177943,16969,15902,13248,10684,8122,6330,5565,3897,2760,2313,1598,1411,1022,699,449,407,324,16592,15756,13244,10838,7389,5433,4150,2900,2486,2091,1722,1220,881,582,378,294,287,33561,31658,26492,21522,15511,11763,9715,6797,5246,4404,3320,2631,1903,1281,827,701,611
2022,UGA,Uganda,UG,Northern,UG3,Adjumani,UG3065,130287,119716,250003,24829,20693,17062,13957,10074,10046,8635,6925,4717,3737,2711,2309,1870,1129,725,517,351,26613,21785,17934,15217,9158,6931,5455,4343,3143,2637,2229,1581,1193,663,392,261,181,51442,42478,34996,29174,19232,16977,14090,11268,7860,6374,4940,3890,3063,1792,1117,778,532
2022,UGA,Uganda,UG,Northern,UG3,Agago,UG3066,140065,130989,271054,27090,23666,18185,14857,10352,8936,9158,6380,5144,4167,3482,2547,2107,1455,1010,910,619,27748,24690,18977,16186,9307,6669,6450,5164,3903,3105,2683,2112,1418,1039,619,516,403,54838,48356,37162,31043,19659,15605,15608,11544,9047,7272,6165,4659,3525,2494,1629,1426,1022
2022,UGA,Uganda,UG,Northern,UG3,Alebtong,UG3067,150372,142565,292937,26866,23909,20612,17486,12114,10067,8590,6807,5501,4745,3557,2899,2560,1744,1248,974,693,27326,24780,21381,18321,10880,7984,6596,5724,4251,3824,3172,2788,2122,1374,874,682,486,54192,48689,41993,35807,22994,18051,15186,12531,9752,8569,6729,5687,4682,3118,2122,1656,1179
2022,UGA,Uganda,UG,Northern,UG3,Amolatar,UG3068,101668,99576,201244,17973,16414,13728,11882,8588,7165,6085,4893,3903,3157,2344,1706,1392,880,649,493,416,18376,17058,14297,12108,8609,6284,5069,4166,3336,2843,2212,1811,1240,812,557,403,395,36349,33472,28025,23990,17197,13449,11154,9059,7239,6000,4556,3517,2632,1692,1206,896,811
2022,UGA,Uganda,UG,Northern,UG3,Amudat,UG3069,74726,78084,152810,15029,14605,11011,7509,5961,5628,4589,3095,2082,1572,1008,836,922,400,211,152,116,14257,14633,12846,9328,6268,4822,4236,2996,2249,1992,1271,1029,1035,485,358,151,128,29286,29238,23857,16837,12229,10450,8825,6091,4331,3564,2279,1865,1957,885,569,303,244
2022,UGA,Uganda,UG,Northern,UG3,Amuru,UG3070,122066,116023,238089,23284,20438,16971,12619,10166,7997,7488,5867,4484,3432,2643,2057,1667,1179,749,578,447,23892,21210,17947,13658,9299,6774,5358,4701,3360,2763,2304,1678,1156,745,502,354,322,47176,41648,34918,26277,19465,14771,12846,10568,7844,6195,4947,3735,2823,1924,1251,932,769
2022,UGA,Uganda,UG,Northern,UG3,Apac,UG3071,129270,125101,254371,21984,20129,17785,15267,11519,9380,7931,6321,4786,3641,2634,1915,1675,1974,975,793,561,22531,20486,18290,15817,11084,8321,6724,5406,4034,3174,2482,1960,1442,1465,769,626,490,44515,40615,36075,31084,22603,17701,14655,11727,8820,6815,5116,3875,3117,3439,1744,1419,1051
2022,UGA,Uganda,UG,Northern,UG3,Arua,UG3072,430295,390724,821019,72702,63799,55193,51234,37912,33283,27328,22300,16025,14608,10058,8923,6200,4461,2810,2104,1355,75054,65305,55179,48501,33657,25876,20257,16551,11813,10700,8662,7150,4587,3031,2056,1331,1014,147756,129104,110372,99735,71569,59159,47585,38851,27838,25308,18720,16073,10787,7492,4866,3435,2369
2022,UGA,Uganda,UG,Northern,UG3,Dokolo,UG3073,121830,116050,237880,20982,19344,17227,14800,9829,8428,6846,5618,4436,3694,2815,2327,1856,1275,981,797,575,21445,19819,17941,15277,9132,6710,5463,4497,3586,2981,2568,2381,1589,1039,671,557,394,42427,39163,35168,30077,18961,15138,12309,10115,8022,6675,5383,4708,3445,2314,1652,1354,969
2022,UGA,Uganda,UG,Northern,UG3,Gulu,UG3074,184352,175462,359814,29535,25515,23881,23055,19034,15680,12783,9123,6672,5032,3984,3183,2361,1598,1141,990,785,30752,26227,23908,22043,18437,14179,10902,8436,5663,4323,3328,2621,1807,928,710,578,620,60287,51742,47789,45098,37471,29859,23685,17559,12335,9355,7312,5804,4168,2526,1851,1568,1405
2022,UGA,Uganda,UG,Northern,UG3,Kaabong,UG3075,72551,62646,135197,10642,11582,9130,8580,6884,6642,5922,2866,2327,2238,1753,1691,1135,500,326,216,117,11265,11115,8890,8243,4502,4162,4407,2485,1956,1687,1189,707,882,476,329,174,177,21907,22697,18020,16823,11386,10804,10329,5351,4283,3925,2942,2398,2017,976,655,390,294
2022,UGA,Uganda,UG,Northern,UG3,Karenga,UG3076,38411,35699,74110,8534,6685,4768,3908,2712,2730,2459,1582,1243,1039,795,577,519,352,213,135,160,6746,6046,4544,3857,3338,2861,2270,1346,983,879,896,691,529,292,186,112,123,15280,12731,9312,7765,6050,5591,4729,2928,2226,1918,1691,1268,1048,644,399,247,283
2022,UGA,Uganda,UG,Northern,UG3,Kitgum,UG3077,123943,116775,240718,21927,19601,15756,14187,10032,8836,7948,5929,4614,3587,3012,2517,2076,1390,983,866,682,22574,20478,16211,15042,9654,7028,6085,4985,3568,2798,2364,1928,1468,930,680,508,474,44501,40079,31967,29229,19686,15864,14033,10914,8182,6385,5376,4445,3544,2320,1663,1374,1156
2022,UGA,Uganda,UG,Northern,UG3,Koboko,UG3078,147198,143448,290646,27538,24248,19115,16796,12731,11229,9246,7953,4686,4113,2618,2611,1704,1089,715,480,326,29394,25139,20157,17896,12304,9541,6829,6039,4015,3534,2708,2248,1466,948,581,386,263,56932,49387,39272,34692,25035,20770,16075,13992,8701,7647,5326,4859,3170,2037,1296,866,589
2022,UGA,Uganda,UG,Northern,UG3,Kole,UG3079,161032,153827,314859,28605,25425,21848,19667,13430,10719,9103,7279,6047,4482,3106,2229,1853,3822,1480,1123,814,29604,25824,22692,19793,12990,9374,7304,6065,4684,3805,2966,2397,1376,2507,1026,829,591,58209,51249,44540,39460,26420,20093,16407,13344,10731,8287,6072,4626,3229,6329,2506,1952,1405
2022,UGA,Uganda,UG,Northern,UG3,Kotido,UG3080,109262,98463,207725,20066,18703,14037,11966,9010,9241,7030,5019,3618,3423,2131,1919,1186,805,496,346,266,19207,16999,13803,11989,8505,7197,5390,3591,2718,2692,2088,1426,1148,616,526,280,288,39273,35702,27840,23955,17515,16438,12420,8610,6336,6115,4219,3345,2334,1421,1022,626,554
