District,Calcium_(mg),Folate_(mcg),Iron_(mg),Kilocalories_(kcal),Niacin_(mg),Proteins_(g),Riboflavin_(mg),Thiamin_(mg),Vitamin_A_(mcg),Vitamin_B12_(mcg),Vitamin_B6_(mg),Vitamin_C_(mg),Zinc_(mg)
NWOYA,19.52,84.22,24.89,52.07,46.42,65.18,36.8,86.7,100.0,16.47,63.97,100.0,32.6
OMORO,56.41,90.34,58.92,72.03,75.28,86.56,67.36,79.56,85.63,82.08,79.3,100.0,64.19
OTUKE,71.7,99.63,74.4,89.39,87.22,84.84,82.96,98.11,84.89,59.15,95.97,94.32,86.96
OYAM,66.66,100.0,65.04,87.74,82.51,85.9,77.71,96.01,72.92,37.79,89.68,95.15,74.64
PADER,51.66,86.48,46.22,50.13,60.78,55.9,48.58,68.54,80.48,31.43,83.14,100.0,45.64
PAKWACH,63.6,96.7,66.66,84.12,84.29,87.68,72.29,85.99,62.3,73.18,81.86,97.18,75.08
PALISA,98.64,100.0,94.62,100.0,100.0,100.0,98.3,100.0,100.0,100.0,100.0,100.0,98.6
PALLISA,68.2,75.17,51.57,64.23,64.96,62.78,67.9,60.06,76.81,49.5,74.68,100.0,56.81
RAKAI,65.13,98.23,80.32,91.22,89.17,94.44,89.74,95.27,92.36,50.6,99.59,100.0,80.75
RUBANDA,70.34,100.0,100.0,100.0,100.0,88.43,90.86,100.0,80.7,0.0,100.0,100.0,90.3
RUKIGA,45.04,100.0,72.16,74.61,75.47,85.52,76.78,88.66,89.73,78.95,100.0,100.0,66.18
RUKINGIRI,57.61,100.0,58.23,100.0,95.93,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.47
RUKUNGIRI,67.82,99.76,77.61,77.83,79.05,90.45,81.42,92.26,86.59,37.84,96.29,100.0,76.74
SERERE,45.01,92.65,50.41,58.04,63.14,65.48,60.28,67.22,82.34,62.62,89.85,96.84,60.38
SHEEMA,84.57,100.0,83.03,84.87,84.53,97.56,94.48,92.95,89.97,53.71,100.0,100.0,83.65
SIRONKO,50.68,100.0,56.14,79.74,74.07,71.5,69.28,85.0,81.73,38.06,100.0,99.72,59.73
SOROTI,65.71,97.75,68.22,69.44,86.14,94.55,83.06,82.4,92.18,79.75,95.21,95.16,75.59
SSEMBABULE,69.75,98.65,70.4,88.81,83.27,89.47,86.86,92.35,85.88,45.22,100.0,100.0,78.24
TORORO,80.38,95.82,77.85,88.52,88.99,86.77,88.55,91.63,91.24,59.6,96.21,97.68,79.34
WAKISO,66.9,97.66,69.73,87.04,85.89,90.8,85.33,92.06,90.45,73.56,97.97,95.9,76.03
YUMBE,42.23,85.98,40.99,53.85,57.44,56.82,57.4,59.7,59.95,42.8,64.98,82.97,46.29
ZOMBO,59.63,98.82,68.51,88.29,91.72,86.13,84.39,88.36,91.51,93.58,96.26,98.56,80.26
